From,To,Label,Type,Tags,Description,Coaching Year Retired,Coaching Year Started,Current Position,First,Last,Playing Year Retired,Playing Year Started College,Wikipedia info,closeness,metrics::last,year retired
Scott O'Brien,John Harbaugh,,,,,,,,,,,,,,,
Jon Gruden,Jay Gruden,,,,,,,,,,,,,,,
Nick Saban,Jason Garrett,,,,,,,,,,,,,,,
Wade Phillips,Marv Levy,,,,,,,,,,,,,,,
Sid Gillman,Chuck Knox,,,,,,,,,,,,,,,
George Seifert,Mike Shanahan,,,,,,,,,,,,,,,
Kyle Shanahan,Gary Kubiak,,,,,,,,,,,,,,,
Bo Schembechler,Paul Schudel,,,,,,,,,,,,,,,
Bob Wagner,Paul Johnson,,,,,,,,,,,,,,,
Manny Diaz,Dan Mullen,,,,,,,,,,,,,,,
"Glenn ""Pop"" Warner",Andy Gustafson,,,,,,,,,,,,,,,
Kevin Sumlin,Tony Levine,,,,,,,,,,,,,,,
Don Coryell,Joe Gibbs,,,,,,,,,,,,,,,
Pepper Rodgers,Ben Martin,,,,,,,,,,,,,,,
John Harbaugh,Tim Murphy,,,,,,,,,,,,,,,
Dick Crum,Bob Stoops,,,,,,,,,,,,,,,
Vince Lombardi,Red Blaik,,,,,,,,,,,,,,,
Tyrone Wheatley,Jim Harbaugh,,,,,,,,,,,,,,,
Brian Billick,Mike Smith,,,,,,,,,,,,,,,
